Year,Position,Song Title,Artist,Artist Type,Artist Gender,Genres,mapped_genres,care,harm,fairness,cheating,loyalty,betrayal,authority,subversion,purity,degradation
1960,1,Theme from A Summer Place,Percy Faith,Person,Male,"['easy listening', ""man's orchestra""]",Classical,0.8463378548622131,0.05344833806157112,0.19551606476306915,0.03770994767546654,0.47504323720932007,0.17754080891609192,0.1419096738100052,0.08417964726686478,0.1356298178434372,0.09300781786441803
1960,2,He'll Have to Go,Jim Reeves,Person,Male,['country'],Country,0.48472386598587036,0.12676669657230377,0.2191893756389618,0.04685233533382416,0.6145448088645935,0.17468750476837158,0.15423592925071716,0.15485499799251556,0.06347978115081787,0.1065770834684372
1960,3,Cathy's Clown,The Everly Brothers,Group,Male,"['rockabilly', 'rock & roll']",Rock,0.24134795367717743,0.7100043296813965,0.33329519629478455,0.7568792700767517,0.22949950397014618,0.32011985778808594,0.13940221071243286,0.2911459803581238,0.06821564584970474,0.33139050006866455
1960,4,Running Bear,Johnny Preston,Person,Male,['traditional pop music'],Pop,0.6725748181343079,0.32772836089134216,0.18965785205364227,0.03805464506149292,0.6194068193435669,0.22027336061000824,0.2007676362991333,0.1100287064909935,0.07126541435718536,0.1029289960861206
1960,5,Teen Angel,Mark Dinning,Person,Male,['deep adult standards'],Deep adult standards,0.5548742413520813,0.16698844730854034,0.17565077543258667,0.08077835291624069,0.4151717722415924,0.6976190805435181,0.18342073261737823,0.3409154713153839,0.12535278499126434,0.12244858592748642
1960,6,I'm Sorry,Brenda Lee,Person,Female,"['pop', 'country']","Pop,Country",0.22702337801456451,0.8918013572692871,0.3372840881347656,0.6361392736434937,0.27951452136039734,0.2790002226829529,0.11971776932477951,0.1820041686296463,0.05582069978117943,0.14206930994987488
1960,7,It's Now or Never,Elvis Presley,Person,Male,"['blue-eyed soul', 'blues', 'pop', 'christmas music', 'country', 'gospel', 'rockabilly', 'rock', 'rock & roll', 'rock and roll']","Rock,Pop,Religious,Soul/Funk,Country,Blues",0.8065910339355469,0.11484621465206146,0.18517030775547028,0.056525882333517075,0.5468478798866272,0.23715519905090332,0.13028118014335632,0.12247779220342636,0.12206012010574341,0.09724041819572449
1960,8,Handy Man,Jimmy Jones,Person,Male,"['doo-wop', 'rhythm and blues', 'rock-and-roll']","Blues,Rock",0.7227619290351868,0.10354460030794144,0.20902062952518463,0.0788528248667717,0.4524226784706116,0.11306861788034439,0.23063093423843384,0.13800263404846191,0.06653677672147751,0.06280628591775894
1960,9,Stuck on You,Elvis Presley,Person,Male,"['blue-eyed soul', 'blues', 'pop', 'christmas music', 'country', 'gospel', 'rockabilly', 'rock', 'rock & roll', 'rock and roll']","Rock,Pop,Religious,Soul/Funk,Country,Blues",0.7246519923210144,0.2100478708744049,0.18755121529102325,0.1541200578212738,0.29225364327430725,0.12415239959955215,0.16619010269641876,0.2334834337234497,0.053521376103162766,0.10247418284416199
1960,10,The Twist,Chubby Checker,Person,Male,['rock and roll'],Rock,0.24218764901161194,0.5084431767463684,0.19589245319366455,0.039421696215867996,0.265664279460907,0.10253909975290298,0.2025173455476761,0.2292327582836151,0.06638476997613907,0.08994407951831818
1960,11,Everybody's Somebody's Fool,Connie Francis,Person,Female,['pop'],Pop,0.4784737825393677,0.7836126685142517,0.347821444272995,0.7356117963790894,0.4350718557834625,0.2672608196735382,0.30724504590034485,0.35047465562820435,0.0446237288415432,0.11505182087421417
1960,12,Wild One,Bobby Rydell,Person,Male,"['rock and roll', 'traditional pop music']","Pop,Rock",0.13903126120567322,0.36703547835350037,0.18345485627651215,0.06522785127162933,0.2677449584007263,0.10611197352409363,0.15322059392929077,0.3354650139808655,0.06402938812971115,0.2994840145111084
1960,13,Greenfields,The Brothers Four,Group,Male,"['pop music', 'folk music']","Folk,Pop",0.13063669204711914,0.21960106492042542,0.1799440234899521,0.09285008907318115,0.23876839876174927,0.2394443154335022,0.15869446098804474,0.1951332688331604,0.04957623779773712,0.20168441534042358
1960,14,What in the World's Come Over You,Jack Scott,Person,Male,"['rockabilly', 'rock and roll']",Rock,0.6996051073074341,0.12852483987808228,0.18344618380069733,0.05125510320067406,0.3644310534000397,0.18588267266750336,0.10916873067617416,0.14018766582012177,0.16668210923671722,0.1269269585609436
1960,15,El Paso,Marty Robbins,Person,Male,['country'],Country,0.20567189157009125,0.8507452011108398,0.21923454105854034,0.5351868867874146,0.22486566007137299,0.3245255947113037,0.23107676208019257,0.386539489030838,0.08573973178863525,0.8821883201599121
1960,16,Alley Oop,The Hollywood Argyles,Group,Male,['novelty'],Novelty,0.059556957334280014,0.5759657621383667,0.19544649124145508,0.1063183918595314,0.17829355597496033,0.10646437108516693,0.29305577278137207,0.31491416692733765,0.06495901197195053,0.3811773359775543
1960,17,My Heart Has a Mind of Its Own,Connie Francis,Person,Female,['pop'],Pop,0.11850284785032272,0.24671174585819244,0.20472770929336548,0.2574513256549835,0.39627209305763245,0.2909051179885864,0.1158560961484909,0.14409852027893066,0.06774352490901947,0.20496690273284912
1960,18,Sweet Nothin's,Brenda Lee,Person,Female,"['pop', 'country']","Pop,Country",0.31595101952552795,0.09624901413917542,0.1782340407371521,0.03808138519525528,0.3714355230331421,0.10682045668363571,0.17848631739616394,0.13236236572265625,0.14422550797462463,0.08676623553037643
